readout,kind,block,dim,category,n_exemplars,k,effective_k,mean_knn_dist,mean_pairwise_dist,local_coherence,global_dispersion,local_over_global,global_dispersion_per_sqrt_dim,mean_knn_dist_per_sqrt_dim
cls_L00,cls,0,768,butterfly,92,5,5,15.350532900794054,34.15356665819392,0.0651443182111464,24.147313121751303,0.002697787446689711,0.8713411081905811,0.5539146439048533
cls_L00,cls,0,768,paper,99,5,5,15.741579365449619,33.68132071001847,0.06352602726730511,23.71478260255468,0.002678752250525027,0.8557335074599,0.5680253177570123
cls_L00,cls,0,768,drawer,87,5,5,15.866556887566139,33.68952237105595,0.06302564614908053,23.830666461654204,0.0026447286419997843,0.8599151060377651,0.5725350556343013
cls_L00,cls,0,768,dress,97,5,5,16.44840917568268,32.70846514188099,0.06079615294823766,23.007095439205184,0.002642495794781558,0.8301970465685328,0.5935308415825942
cls_L00,cls,0,768,towel,83,5,5,16.20811122427512,33.36435017882605,0.061697503562431484,23.385327882724834,0.002638299701070625,0.8438453342611778,0.5848598361494148
cls_L00,cls,0,768,rock,71,5,5,16.001318896621168,33.87874806009352,0.06249484848471832,24.09332705493641,0.002593865444246063,0.8693930538025769,0.5773978607720799
cls_L00,cls,0,768,hat,78,5,5,16.202281155224046,34.17161145287553,0.0617197041836034,24.226584026409125,0.0025476024236980106,0.8742015505745248,0.5846494616534128
cls_L00,cls,0,768,flower,93,5,5,16.143815509521563,35.70789706331098,0.06194322521898269,25.24976868222353,0.0024532195125649718,0.911122546603596,0.5825397643856206
cls_L00,cls,0,768,sock,83,5,5,16.955388626141037,34.55138650237508,0.0589783001763962,24.368987160975532,0.0024202195925009137,0.8793400810792349,0.6118248867198279
cls_L00,cls,0,768,pony,63,5,5,16.651465895322907,34.858892853702386,0.06005477273210413,24.847136606960312,0.002416969555972146,0.8965938130387463,0.6008580198166596
cls_L00,cls,0,768,window,99,5,5,16.05271656285781,36.45255208293005,0.06229475217383228,25.796672858712448,0.00241483669289519,0.9308572511983966,0.57925251429942
cls_L00,cls,0,768,clock,92,5,5,14.67460844116227,39.45249241874712,0.06814491875606032,28.366947196948946,0.002402264800753384,1.0236040375153985,0.529524320859837
cls_L00,cls,0,768,necklace,85,5,5,16.95969598140536,35.84557359945197,0.05896332110530765,25.444744498686145,0.0023173084370468823,0.9181581303611059,0.6119803150149125
cls_L00,cls,0,768,closet,81,5,5,17.432751368091363,35.66316171214292,0.05736329159322403,25.015994227617742,0.0022930646318224186,0.9026869375850768,0.6290502309427104
cls_L00,cls,0,768,can,61,5,5,17.442262753713507,35.33683932477493,0.05733201099651461,25.040491932344544,0.0022895720719631487,0.9035709223612359,0.6293934435082923
cls_L00,cls,0,768,stick,73,5,5,17.883295110492284,34.54543949941867,0.05591810646871735,24.490426269788742,0.002283263911077678,0.8837221374644508,0.645307827877515
cls_L00,cls,0,768,napkin,77,5,5,16.751020652805217,36.943383947251114,0.05969785487862404,26.18497150707524,0.0022798518173866847,0.9448687717707857,0.6044503926936295
cls_L00,cls,0,768,dish,90,5,5,17.02096980371457,36.45386988857317,0.05875105893095263,25.852101732213804,0.0022725834649545756,0.9328573683882019,0.6141913436276938
cls_L00,cls,0,768,bottle,85,5,5,17.799404225264023,35.32855807703266,0.05618165570848856,24.793817503160454,0.002265954232393907,0.894669825605509,0.6422806763044466
cls_L00,cls,0,768,bowl,88,5,5,17.17867911425775,37.100183093714406,0.05821169330592084,26.155775509455694,0.002225577034979386,0.9438152519529792,0.6198821881836821
cls_L00,cls,0,768,lamp,92,5,5,17.32926745152416,40.6157012390951,0.0577058437581011,28.918735004582235,0.0019954484091007953,1.043514964969938,0.6253160767497808
cls_L00,cls,0,768,cup,83,5,5,18.565553009116822,38.27801989025689,0.05386319489157898,27.181547523419866,0.0019816088412615202,0.9808296112273166,0.6699266892167416
cls_L00,cls,0,768,ball,86,5,5,18.99235377165078,39.066883626994176,0.05265276816255734,27.627349613866453,0.001905820460466116,0.9969161085351064,0.685327535162949
cls_L00,cls,0,768,bird,63,5,5,19.59233496675138,39.606106498360944,0.05104036867974245,27.891384724076975,0.0018299689737412835,1.0064436549073286,0.7069774916942018
cls_L00,cls,0,768,car,69,5,5,19.27407043759454,40.147310893566136,0.051883176583679795,28.601041981165952,0.0018140309929213538,1.032051205433122,0.6954931097203134
cls_L00,cls,0,768,bucket,71,5,5,20.362536037898632,38.72188171470055,0.04910979644867446,27.10575238664967,0.001811785031758144,0.9780945898137205,0.7347697289290145
cls_L00,cls,0,768,balloon,74,5,5,22.169797541784657,46.68004955221652,0.04510641101323745,33.30892496484444,0.0013541839330102833,1.201932299679374,0.7999836611643047
cls_L01,cls,1,768,vacuum,62,5,5,17.226993025703745,25.83211016160967,0.05804843587664648,18.088927928743207,0.0032090589395520693,0.6527279630632269,0.6216255662948664
cls_L01,cls,1,768,cracker,73,5,5,17.017540925338366,27.104503429775903,0.05876289673034041,19.054201888061407,0.0030839862553969717,0.687559286829108,0.6140676146368487
cls_L01,cls,1,768,stroller,88,5,5,16.442922490807398,28.476572830226807,0.06081643944737083,20.10227358310239,0.003025351296506681,0.7253783165329794,0.5933328578957378
cls_L01,cls,1,768,grass,100,5,5,16.761804984748508,28.081265802108636,0.05965944603877062,19.729259223068553,0.003023907049131042,0.7119183202094085,0.6048395387530352
cls_L01,cls,1,768,swing,65,5,5,17.631193597896104,28.913789647928095,0.05671765751124916,20.349121692656578,0.002787228774189156,0.734285680439233,0.6362108981174827
cls_L01,cls,1,768,jeans,84,5,5,17.951875546106795,28.93461708834502,0.05570448599822591,20.334441969359915,0.002739415523777925,0.7337559715519232,0.6477825111877137
cls_L01,cls,1,768,oven,83,5,5,18.13432782922023,28.95029965943838,0.05514403453039372,20.292974576323033,0.0027173953391107777,0.732259645893646,0.6543661908608264
cls_L01,cls,1,768,shower,77,5,5,18.036273982027616,29.128986753598916,0.0554438239847353,20.619691429074727,0.002688877482742391,0.7440490248239571,0.650827977418843
cls_L01,cls,1,768,watch,97,5,5,17.825119207143338,29.779009841885856,0.05610060658664512,21.011539482475445,0.0026699902990656877,0.758188623518478,0.643208585786336
cls_L01,cls,1,768,pants,90,5,5,18.047179189957273,29.556151249350407,0.05541032143995504,20.792006943990355,0.0026649818648685395,0.7502669253815876,0.6512214852147028
cls_L01,cls,1,768,couch,98,5,5,18.366183172610963,29.348162165962854,0.05444789429582056,20.73192955198513,0.0026262820428408725,0.7480990692286857,0.6627325499183072
cls_L01,cls,1,768,refrigerator,65,5,5,19.259421514155882,28.49338948549006,0.05192263948660084,19.951470489721114,0.0026024467476395336,0.719936678623085,0.6949645122271481
cls_L01,cls,1,768,cat,68,5,5,18.51742944538585,29.886465601002666,0.05400317592403079,20.989644687749937,0.0025728485035074627,0.7573985631666891,0.668190179687089
cls_L01,cls,1,768,table,94,5,5,18.42429861090879,29.99325840451715,0.05427615026864105,21.194404642562553,0.002560871663252282,0.764787201606084,0.6648296101648898
cls_L01,cls,1,768,sweater,97,5,5,18.72999855280081,30.01148006824416,0.053390287093773636,21.128101955455584,0.002526979811359131,0.7623947094655088,0.6758606066488031
cls_L01,cls,1,768,plate,93,5,5,17.927619411343752,31.2422206406971,0.0557798543719222,22.092919619280917,0.002524784199334254,0.7972095680860376,0.6469072433167797
cls_L01,cls,1,768,tree,99,5,5,18.475636200431392,30.917737656751502,0.05412533507109491,21.759736067011602,0.002487407701288735,0.7851868422365224,0.6666820958605412
cls_L01,cls,1,768,jacket,76,5,5,19.45631457844931,30.634356764122433,0.05139719528937125,21.403921057821233,0.0024012981149820743,0.7723474740279118,0.7020692787066093
cls_L01,cls,1,768,shirt,91,5,5,19.731563077097103,30.337763262153885,0.0506802221442215,21.288100012120168,0.002380683204013849,0.7681681420333285,0.7120014533808808
