source,category,n_exemplars,k,effective_k,mean_knn_dist,mean_pairwise_dist,local_coherence,global_dispersion,local_over_global
released_clip,swing,65,5,5,24.085553483983194,29.533340704385633,0.041518663902201644,20.737390507075833,0.0020021161239180507
released_clip,toy,100,5,5,24.702908099922823,29.867394031892363,0.040481063847018245,21.023108155393334,0.0019255508532706237
released_clip,tray,80,5,5,25.045879061484527,30.326866417907656,0.03992672796770774,21.322155056820883,0.0018725465536343767
released_clip,book,94,5,5,25.37780122509388,30.722378539550334,0.039404517008005714,21.585951937032007,0.0018254704320176346
released_dinov3,butterfly,92,5,5,22.692212309063116,30.99013274419399,0.04406798184241414,21.813371575633024,0.0020202278996448667
released_dinov3,clock,92,5,5,21.617270085665638,33.4335793606912,0.04625931008111416,23.551789514859962,0.001964152662451697
released_dinov3,stroller,88,5,5,23.901976827736938,30.443183499400476,0.041837543698040686,21.358089595859774,0.001958861700165862
released_dinov3,slide,57,5,5,23.702512914929773,31.232970227313402,0.042189619454657844,21.889133608967605,0.0019274229948221192
released_dinov3,swing,65,5,5,24.10173690528175,30.854450373225838,0.04149078566121332,21.652377058644383,0.0019162231263956655
released_dinov3,cracker,73,5,5,24.307399055984384,30.77110230566076,0.041139736822389646,21.585090932359726,0.0019059329863982263
released_dinov3,plant,99,5,5,24.809914557826797,30.98743870314349,0.04030646690335052,21.761960758353464,0.001852152356624328
released_dinov3,pants,90,5,5,25.909420662356155,31.031469131347215,0.03859600000446563,21.794560248387473,0.0017709006084360547
released_dinov3,jeans,84,5,5,26.075197211966394,31.288176481159933,0.03835062077847225,21.96039572416125,0.0017463538116609693
released_dinov3,shower,77,5,5,25.308657869933562,32.87784999758048,0.0395121703070628,23.1160845500595,0.0017092933806110817
released_dinov3,grass,100,5,5,25.818353593195205,32.58214729747453,0.03873213667131603,22.878767181615775,0.0016929293595172046
released_dinov3,shorts,95,5,5,26.310978098299415,32.04366587170666,0.038006948896538134,22.50925910115862,0.0016885028834459418
released_dinov3,watch,97,5,5,25.938394595911568,32.60043900611304,0.038552887161244005,22.933358350114066,0.0016810833621780585
released_dinov3,window,99,5,5,25.76468235386748,32.880023254510895,0.038812820832230914,23.135091336912456,0.0016776601512830146
released_dinov3,door,95,5,5,26.36576380363862,32.27068558393951,0.03792797384697782,22.6759996752355,0.0016726042683974382
released_dinov3,pony,63,5,5,25.378647651368787,33.6329110023658,0.03940320279225223,23.654495122407766,0.0016657807570336094
released_dinov3,blanket,92,5,5,26.987385499182057,31.939160094475586,0.03705434896723539,22.434073761016055,0.0016516995246590102
released_dinov3,sweater,97,5,5,26.958531131599848,32.11664093537854,0.03709400913270957,22.572342272065868,0.001643338944873914
released_dinov3,refrigerator,65,5,5,26.522668738079197,32.742212224363655,0.03770359649231969,22.959777883005245,0.0016421585907513405
released_dinov3,oven,83,5,5,26.282487360970837,33.06892159151999,0.03804814918259934,23.20680173324006,0.001639525757144786
released_dinov3,lamp,92,5,5,25.266020848849408,34.34617355647931,0.039578848049812286,24.208764201721163,0.0016348974991048225
released_dinov3,drawer,87,5,5,26.38278389667283,33.03319281553629,0.03790350570722415,23.206218569751332,0.0016333339959415157
released_dinov3,shirt,91,5,5,27.429046006899505,31.846594404914057,0.03645770252995528,22.37902718702683,0.0016291013110297258
released_dinov3,rock,71,5,5,26.403431420479023,33.140294165549115,0.037873865107714004,23.26120106973129,0.0016281990338408402
released_dinov3,pajamas,86,5,5,27.087527668384837,32.31135455188308,0.0369173596144453,22.70820719595607,0.0016257276189121448
released_dinov3,flower,93,5,5,25.94834969140697,33.75497844279736,0.03853809632953879,23.716729886053013,0.0016249329698780146
released_dinov3,closet,81,5,5,26.44991218961938,33.14422974830454,0.037807308879931306,23.300562978782416,0.0016225920770394598
released_dinov3,sock,83,5,5,27.357072187706336,32.26820143860824,0.03655361923010818,22.69000894788812,0.0016110006529332116
released_dinov3,apple,64,5,5,26.980143735099,33.24449359156322,0.037064294757595394,23.33189868286949,0.0015885674484266625
released_dinov3,dress,97,5,5,27.369056559903274,32.73139291413249,0.03653761311835055,23.01673986790927,0.0015874365061271142
released_dinov3,paper,99,5,5,27.48172428535858,32.66319598802754,0.036387818668742314,22.97589542448924,0.0015837388705189591
released_dinov3,pillow,85,5,5,27.675442468429463,32.60284788788423,0.03613311697331459,22.910243671745572,0.001577159871847035
released_dinov3,plate,93,5,5,26.63036304341505,33.93393186216899,0.0375511215663758,23.88539313666316,0.001572137471278891
released_dinov3,doll,89,5,5,27.606405133134324,32.88792795912411,0.03622347767401847,23.106153048908695,0.0015676983354755935
released_dinov3,book,94,5,5,27.947795422411488,32.56966860444662,0.035780997566559204,22.877783723773153,0.0015640062865607844
released_dinov3,couch,98,5,5,27.87593031323839,32.89680270301171,0.03587324221158266,23.130058950720684,0.0015509360476776877
released_dinov3,table,94,5,5,27.212366270920676,33.684462558171425,0.0367479986872221,23.695315484318385,0.0015508550080939843
released_dinov3,sink,64,5,5,27.1396885715768,33.893571912837544,0.03684640659610563,23.80591640737957,0.00154778358310473
released_dinov3,purse,76,5,5,27.91886366429125,33.4122611668757,0.035818076696259624,23.469498095602486,0.0015261543536361738
released_dinov3,napkin,77,5,5,27.949202339853354,33.41713140116976,0.03577919640926851,23.48150093195811,0.0015237184587537735
released_dinov3,necklace,85,5,5,27.717803889258203,33.82016594673247,0.036077894338069884,23.768306806907077,0.0015178992189542773
released_dinov3,shoe,94,5,5,27.901474922139887,33.650275884007755,0.03584039921869857,23.68083263243906,0.0015134771557653252
released_dinov3,cat,68,5,5,28.303282500891456,33.51001242371606,0.03533159095481252,23.496150205485883,0.001503718296223834
released_dinov3,vacuum,62,5,5,28.189774965796154,33.664932668968405,0.035473855368244066,23.632144016050493,0.0015010849351692725
released_dinov3,balloon,74,5,5,28.095875719123125,33.9955002120151,0.035592412566067905,23.871372224432555,0.001491008234945068
released_dinov3,bed,74,5,5,28.189084157698,34.00377717128288,0.035474724698599885,23.85805359664994,0.0014869077460527257
released_dinov3,scarf,73,5,5,28.619762896660426,33.78660559180543,0.03494089044730303,23.720710502945476,0.0014730119674519998
released_dinov3,jacket,76,5,5,28.749424019934928,33.61888108054655,0.03478330554749887,23.618420831236275,0.0014727193573203085
released_dinov3,fork,63,5,5,28.330339620836057,34.21526643978743,0.03529784723316667,24.01671610572134,0.00146971996828317
released_dinov3,crib,60,5,5,28.12533487622138,34.69929185206183,0.035555132210903985,24.337599708853688,0.0014609136741602958
released_dinov3,towel,83,5,5,28.870354765604883,33.965914156084,0.03463760691958537,23.87783539747855,0.0014506175431313606
released_dinov3,basket,91,5,5,28.582390755656753,34.8315671276361,0.034986576474611016,24.476968906669615,0.001429367198529132
released_dinov3,glass,80,5,5,28.381453905013302,35.163985295646725,0.03523427669867751,24.72866189524557,0.0014248355551115279
released_dinov3,hat,78,5,5,28.88350118795959,34.96556118032224,0.03462184149672482,24.57504488125065,0.0014088210891992836
released_dinov3,ball,86,5,5,28.381422922157853,35.67294263493184,0.03523431516251721,25.099509509989137,0.0014037850081689688
released_dinov3,can,61,5,5,29.170733968983043,34.824274335822714,0.0342809337969792,24.436928799640235,0.0014028331496993964
released_dinov3,cup,83,5,5,29.073942794947044,35.557313883888924,0.0343950597637482,25.01257968981866,0.0013751104520318097
released_dinov3,bench,64,5,5,29.74077499179664,34.95494576406861,0.03362387161315832,24.50447116367377,0.0013721525099877874
released_dinov3,tray,80,5,5,29.58759382218264,35.115598771521384,0.03379794943819569,24.67982593715293,0.0013694565563088662
released_dinov3,box,86,5,5,29.855197317752573,35.05105289408323,0.03349500555487461,24.62805846637258,0.0013600343527123368
